,file_path,results
0,/home/vic-kang/cmd3/dataset/audio/2015/dCTd1XHbliU.wav,"{'preds': {'0': 3, '1': 32, '2': 51}, 'preds_f': '2', 'target': 1}"
1,/home/vic-kang/cmd3/dataset/audio/2017/sR0wCC271s4.wav,"{'preds': {'0': 7, '1': 43, '2': 74}, 'preds_f': '2', 'target': 2}"
2,/home/vic-kang/cmd3/dataset/audio/2011/qW7Nq2UBlbk.wav,"{'preds': {'0': 20, '1': 53, '2': 30}, 'preds_f': '1', 'target': 1}"
3,/home/vic-kang/cmd3/dataset/audio/2013/WI5B7jLWZUc.wav,"{'preds': {'0': 10, '1': 29, '2': 72}, 'preds_f': '2', 'target': 0}"
4,/home/vic-kang/cmd3/dataset/audio/2011/_SwvSu3jxAA.wav,"{'preds': {'0': 4, '1': 47, '2': 63}, 'preds_f': '2', 'target': 2}"
5,/home/vic-kang/cmd3/dataset/audio/2015/hmF_IO6Aiag.wav,"{'preds': {'0': 1, '1': 73, '2': 56}, 'preds_f': '1', 'target': 1}"
6,/home/vic-kang/cmd3/dataset/audio/2015/G7Mvs5Ic8us.wav,"{'preds': {'0': 37, '1': 5, '2': 95}, 'preds_f': '2', 'target': 0}"
7,/home/vic-kang/cmd3/dataset/audio/2015/UHPq25mUJwk.wav,"{'preds': {'0': 34, '1': 8, '2': 93}, 'preds_f': '2', 'target': 0}"
8,/home/vic-kang/cmd3/dataset/audio/2013/mzddAYYDZkk.wav,"{'preds': {'0': 12, '1': 61, '2': 56}, 'preds_f': '1', 'target': 0}"
9,/home/vic-kang/cmd3/dataset/audio/2013/VEB-OoUrNuk.wav,"{'preds': {'0': 9, '1': 40, '2': 74}, 'preds_f': '2', 'target': 0}"
10,/home/vic-kang/cmd3/dataset/audio/2011/sthFTs2gWeg.wav,"{'preds': {'0': 18, '1': 22, '2': 86}, 'preds_f': '2', 'target': 1}"
11,/home/vic-kang/cmd3/dataset/audio/2015/G2mYFXmFQPw.wav,"{'preds': {'0': 86, '1': 5, '2': 36}, 'preds_f': '0', 'target': 0}"
12,/home/vic-kang/cmd3/dataset/audio/2011/GmslKQBmdzg.wav,"{'preds': {'0': 15, '1': 30, '2': 87}, 'preds_f': '2', 'target': 1}"
13,/home/vic-kang/cmd3/dataset/audio/2017/BjsuTimPBAM.wav,"{'preds': {'0': 8, '1': 62, '2': 150}, 'preds_f': '2', 'target': 2}"
14,/home/vic-kang/cmd3/dataset/audio/2011/DQYjgqnTmJ8.wav,"{'preds': {'0': 116, '1': 4, '2': 5}, 'preds_f': '0', 'target': 2}"
15,/home/vic-kang/cmd3/dataset/audio/2015/VICyZk-XSLA.wav,"{'preds': {'0': 28, '1': 5, '2': 72}, 'preds_f': '2', 'target': 0}"
16,/home/vic-kang/cmd3/dataset/audio/2011/dXngQtk0BCU.wav,"{'preds': {'0': 26, '1': 17, '2': 84}, 'preds_f': '2', 'target': 2}"
17,/home/vic-kang/cmd3/dataset/audio/2011/fpiyrd28vfA.wav,"{'preds': {'0': 19, '1': 83, '2': 76}, 'preds_f': '1', 'target': 2}"
18,/home/vic-kang/cmd3/dataset/audio/2017/gM8trQSURdg.wav,"{'preds': {'0': 7, '1': 10, '2': 161}, 'preds_f': '2', 'target': 2}"
19,/home/vic-kang/cmd3/dataset/audio/2011/hLCjV1eOAoA.wav,"{'preds': {'0': 23, '1': 31, '2': 37}, 'preds_f': '2', 'target': 2}"
20,/home/vic-kang/cmd3/dataset/audio/2017/hOB4Qm1IiOY.wav,"{'preds': {'0': 11, '1': 43, '2': 90}, 'preds_f': '2', 'target': 2}"
21,/home/vic-kang/cmd3/dataset/audio/2017/XtduKM28ohU.wav,"{'preds': {'0': 5, '1': 52, '2': 103}, 'preds_f': '2', 'target': 2}"
22,/home/vic-kang/cmd3/dataset/audio/2017/GC9MkHzTnRg.wav,"{'preds': {'0': 11, '1': 78, '2': 108}, 'preds_f': '2', 'target': 2}"
23,/home/vic-kang/cmd3/dataset/audio/2015/PU4PQ3OJn58.wav,"{'preds': {'0': 27, '1': 5, '2': 97}, 'preds_f': '2', 'target': 0}"
24,/home/vic-kang/cmd3/dataset/audio/2013/231TmvIPzQQ.wav,"{'preds': {'0': 19, '1': 17, '2': 90}, 'preds_f': '2', 'target': 0}"
25,/home/vic-kang/cmd3/dataset/audio/2013/Ymze0Je2Tm0.wav,"{'preds': {'0': 30, '1': 19, '2': 84}, 'preds_f': '2', 'target': 0}"
26,/home/vic-kang/cmd3/dataset/audio/2011/_6dtasEqpLM.wav,"{'preds': {'0': 36, '1': 44, '2': 88}, 'preds_f': '2', 'target': 2}"
27,/home/vic-kang/cmd3/dataset/audio/2011/tOZTZP_qzC0.wav,"{'preds': {'0': 2, '1': 9, '2': 120}, 'preds_f': '2', 'target': 1}"
28,/home/vic-kang/cmd3/dataset/audio/2011/CccXBzfhDVA.wav,"{'preds': {'0': 8, '1': 10, '2': 72}, 'preds_f': '2', 'target': 1}"
29,/home/vic-kang/cmd3/dataset/audio/2015/75UHGiJjNuw.wav,"{'preds': {'0': 9, '1': 23, '2': 20}, 'preds_f': '1', 'target': 0}"
30,/home/vic-kang/cmd3/dataset/audio/2015/UqLq7sMS2sU.wav,"{'preds': {'0': 18, '1': 11, '2': 100}, 'preds_f': '2', 'target': 0}"
31,/home/vic-kang/cmd3/dataset/audio/2013/PSofqNSuVy8.wav,"{'preds': {'0': 17, '1': 16, '2': 96}, 'preds_f': '2', 'target': 0}"
32,/home/vic-kang/cmd3/dataset/audio/2011/2bcSpgxPG0g.wav,"{'preds': {'0': 40, '1': 34, '2': 64}, 'preds_f': '2', 'target': 2}"
33,/home/vic-kang/cmd3/dataset/audio/2015/DNuzmKc7mq4.wav,"{'preds': {'0': 27, '1': 23, '2': 94}, 'preds_f': '2', 'target': 1}"
34,/home/vic-kang/cmd3/dataset/audio/2011/zU3Hs36FIrw.wav,"{'preds': {'0': 4, '1': 18, '2': 170}, 'preds_f': '2', 'target': 2}"
35,/home/vic-kang/cmd3/dataset/audio/2015/dGmuICb8a7Y.wav,"{'preds': {'0': 38, '1': 53, '2': 132}, 'preds_f': '2', 'target': 0}"
