,file_path,targets,preds
0,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,0
1,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
2,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
3,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
4,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
5,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
6,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
7,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
8,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
9,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
10,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
11,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
12,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
13,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
14,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
15,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
16,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
17,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
18,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,0
19,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
20,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
21,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
22,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
23,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
24,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,0
25,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
26,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
27,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
28,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
29,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
30,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
31,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
32,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
33,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
34,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
35,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
36,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
37,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
38,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
39,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
40,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
41,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
42,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
43,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
44,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
45,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
46,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
47,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
48,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
49,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
50,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
51,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
52,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
53,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
54,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
55,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
56,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
57,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,0
58,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
59,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
60,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
61,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
62,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
63,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,1
64,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
65,/home/vic-kang/cmd3/cmd3_audio/dataset/audio/2017/ZLjp7ahdbWc.wav,2,2
